;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;IMPUESTO ESPECÍFICO AL JUEGO ($);;;;;;;;;;;;;;;;;
;Casinos de Juego;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Oct;Nov;Dic;Total ($);Total (US$);;;
; Dólar promedio observado ; 501,34 ; 481,49 ; 485,40 ; 486,00 ; 497,09 ; 505,63 ; 491,93 ; 480,99 ; 474,97 ; 475,36 ; 480,57 ; -   ;;;;;
;;;;;;;;;;;;;;;;;;
;IVA AL JUEGO ($);;;;;;;;;;;;;;;;;
;Casinos de Juego;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Oct;Nov;Dic;Total ($);Total (US$);;;
;Casino Sol Calama; 165.374.577 ; 149.354.320 ; 167.402.518 ; 174.447.957 ; 188.401.654 ; 180.743.963 ; 188.606.556 ; 193.743.734 ; 172.622.931 ; 177.053.551 ; 183.900.215 ;; 1.941.651.976 ; 3.985.127 ;;;
;Enjoy Antofagasta; 351.605.768 ; 336.293.278 ; 388.055.604 ; 371.925.852 ; 391.216.240 ; 380.228.759 ; 388.528.667 ; 387.740.782 ; 381.947.157 ; 365.152.090 ; 350.500.869 ;; 4.093.195.066 ; 8.401.101 ;;;
;Antay Casino & Hotel; 144.185.569 ; 128.397.051 ; 161.463.386 ; 155.484.842 ; 167.051.720 ; 155.335.730 ; 161.042.911 ; 168.102.013 ; 156.447.883 ; 150.535.818 ; 145.900.738 ;; 1.693.947.661 ; 3.476.628 ;;;
;Casino de Juegos del Pacífico; 97.286.525 ; 95.144.401 ; 69.391.466 ; 69.223.277 ; 65.671.730 ; 63.155.027 ; 76.492.670 ; 66.413.440 ; 81.894.423 ; 69.799.027 ; 73.998.387 ;; 828.470.373 ; 1.700.871 ;;;
;Casino Rinconada; 411.411.099 ; 389.267.809 ; 478.820.507 ; 470.211.171 ; 521.950.451 ; 462.510.631 ; 550.904.370 ; 548.033.383 ; 494.584.229 ; 576.267.293 ; 571.265.740 ;; 5.475.226.683 ; 11.249.346 ;;;
;Monticello Grand Casino; 1.042.579.465 ; 864.538.972 ; 999.955.154 ; 997.102.397 ; 1.004.380.374 ; 1.042.828.544 ; 1.084.811.256 ; 1.152.404.412 ; 1.057.549.395 ; 1.318.396.703 ; 1.064.675.918 ;; 11.629.222.590 ; 23.886.394 ;;;
;Casino de Colchagua; 84.940.851 ; 82.619.712 ; 78.262.511 ; 80.314.755 ; 83.452.478 ; 77.589.075 ; 67.892.504 ; 74.781.529 ; 83.345.870 ; 68.211.272 ; 72.117.935 ;; 853.528.492 ; 1.751.366 ;;;
;Gran Casino de Talca; 124.300.343 ; 114.321.782 ; 136.119.261 ; 126.094.432 ; 133.656.545 ; 140.303.731 ; 147.115.761 ; 144.173.939 ; 140.637.331 ; 138.671.913 ; 134.823.050 ;; 1.480.218.088 ; 3.038.779 ;;;
;Termas de Chillán; 4.845.888 ; 6.419.762 ; 2.361.636 ; 4.283.688 ; 2.108.825 ; 3.969.210 ; 6.164.032 ; 5.481.220 ; 4.489.965 ; 2.713.191 ; 2.446.528 ;; 45.283.945 ; 92.949 ;;;
;Marina del Sol; 429.276.466 ; 398.087.460 ; 446.439.934 ; 461.029.860 ; 492.776.955 ; 469.708.228 ; 492.487.801 ; 514.357.536 ; 482.795.535 ; 513.278.137 ; 433.689.060 ;; 5.133.926.972 ; 10.540.874 ;;;
;Casino Gran Los Angeles; 44.885.423 ; 47.723.174 ; 52.790.375 ; 55.416.862 ; 60.054.068 ; 51.705.098 ; 57.474.833 ; 58.893.159 ; 48.411.485 ; 53.791.875 ; 47.842.048 ;; 578.988.400 ; 1.188.415 ;;;
;Dreams Temuco; 254.265.680 ; 255.273.046 ; 271.959.103 ; 272.553.424 ; 279.633.854 ; 284.064.032 ; 281.625.571 ; 286.346.374 ; 277.543.829 ; 265.622.435 ; 255.555.385 ;; 2.984.442.733 ; 6.125.492 ;;;
;Dreams Valdivia; 133.393.828 ; 143.965.452 ; 145.207.184 ; 137.093.449 ; 129.456.621 ; 138.955.162 ; 150.999.240 ; 133.054.424 ; 137.899.866 ; 144.493.037 ; 133.962.577 ;; 1.528.480.840 ; 3.138.190 ;;;
;Casino Sol Osorno; 96.704.515 ; 93.287.934 ; 102.666.984 ; 107.982.855 ; 107.591.498 ; 93.180.304 ; 104.383.835 ; 92.718.843 ; 110.546.023 ; 104.424.015 ; 98.996.262 ;; 1.112.483.068 ; 2.284.439 ;;;
;Enjoy Chiloé; - ; - ; - ; - ; 22.954.512 ; 33.037.403 ; 34.000.058 ; 29.168.695 ; 33.020.359 ; 30.909.341 ; 28.273.791 ;; 211.364.159 ; 434.653 ;;;
;Dreams Coyhaique; - ; - ; - ; 15.069.159 ; 39.860.427 ; 48.761.287 ; 55.540.478 ; 51.615.957 ; 49.988.528 ; 50.952.187 ; 49.635.832 ;; 361.423.855 ; 743.563 ;;;
;Dreams Punta Arenas; 191.867.369 ; 183.233.991 ; 123.048.969 ; 199.885.033 ; 206.912.460 ; 188.707.206 ; 208.407.807 ; 208.673.886 ; 215.370.324 ; 208.348.801 ; 208.673.198 ;; 2.143.129.044 ; 4.400.964 ;;;
; Total ; 3.576.923.366 ; 3.287.928.144 ; 3.623.944.592 ; 3.698.119.013 ; 3.897.130.412 ; 3.814.783.390 ; 4.056.478.350 ; 4.115.703.326 ; 3.929.095.133 ; 4.238.620.687 ; 3.856.257.533 ; -   ; 42.094.983.946 ; 86.439.152 ;;;
; Total US$ ; 7.134.726 ; 6.828.653 ; 7.465.893 ; 7.609.298 ; 7.839.889 ; 7.544.614 ; 8.246.048 ; 8.556.734 ; 8.272.302 ; 8.916.654 ; 8.024.341 ;; 86.439.152 ;;;;
; Dólar promedio observado ; 501,34 ; 481,49 ; 485,40 ; 486,00 ; 497,09 ; 505,63 ; 491,93 ; 480,99 ; 474,97 ; 475,36 ; 480,57 ; -   ;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
